ָIndicator,Time
0.002158842,01/05/2014 00:10:00
0.002834303,01/05/2014 00:20:00
0.003316942,01/05/2014 00:30:00
0.003530137,01/05/2014 00:40:00
0.003819931,01/05/2014 00:50:00
0.004251285,01/05/2014 01:00:00
0.004457811,01/05/2014 01:10:00
0.004421537,01/05/2014 01:20:00
0.004435835,01/05/2014 01:30:00
0.004498114,01/05/2014 01:40:00
0.00485846,01/05/2014 01:50:00
0.005215008,01/05/2014 02:00:00
0.005264915,01/05/2014 02:10:00
0.005421158,01/05/2014 02:20:00
0.005406227,01/05/2014 02:30:00
0.005364457,01/05/2014 02:40:00
0.005314203,01/05/2014 02:50:00
0.00505549,01/05/2014 03:00:00
0.004856812,01/05/2014 03:10:00
0.004765957,01/05/2014 03:20:00
0.004880995,01/05/2014 03:30:00
0.004978592,01/05/2014 03:40:00
0.00520532,01/05/2014 03:50:00
0.005270763,01/05/2014 04:00:00
0.005342545,01/05/2014 04:10:00
0.005405102,01/05/2014 04:20:00
0.005716122,01/05/2014 04:30:00
0.005798708,01/05/2014 04:40:00
0.00580661,01/05/2014 04:50:00
0.005938478,01/05/2014 05:00:00
0.006052619,01/05/2014 05:10:00
0.006211906,01/05/2014 05:20:00
0.006391152,01/05/2014 05:30:00
0.006108991,01/05/2014 05:40:00
0.005938678,01/05/2014 05:50:00
0.005942231,01/05/2014 06:00:00
0.005733895,01/05/2014 06:10:00
0.005680466,01/05/2014 06:20:00
0.005581412,01/05/2014 06:30:00
0.005518412,01/05/2014 06:40:00
0.005421702,01/05/2014 06:50:00
0.005291853,01/05/2014 07:00:00
0.005101738,01/05/2014 07:10:00
0.005090131,01/05/2014 07:20:00
0.004946439,01/05/2014 07:30:00
0.005026912,01/05/2014 07:40:00
0.005088505,01/05/2014 07:50:00
0.004936442,01/05/2014 08:00:00
0.004958892,01/05/2014 08:10:00
0.004940878,01/05/2014 08:20:00
0.004791984,01/05/2014 08:30:00
0.004648776,01/05/2014 08:40:00
0.00457382,01/05/2014 08:50:00
0.004328507,01/05/2014 11:30:00
0.004679542,01/05/2014 11:40:00
0.004376449,01/05/2014 11:50:00
0.004131635,01/05/2014 12:00:00
0.003706467,01/05/2014 12:10:00
0.003573148,01/05/2014 12:20:00
0.003272118,01/05/2014 12:30:00
0.003330864,01/05/2014 12:40:00
0.003232999,01/05/2014 12:50:00
0.003165463,01/05/2014 13:00:00
0.003114367,01/05/2014 13:10:00
0.003174477,01/05/2014 13:20:00
0.003200661,01/05/2014 13:30:00
0.003170576,01/05/2014 13:40:00
0.003139272,01/05/2014 13:50:00
0.003020301,01/05/2014 14:00:00
0.003139518,01/05/2014 14:10:00
0.003331147,01/05/2014 14:20:00
0.003283349,01/05/2014 14:30:00
0.003371639,01/05/2014 14:40:00
0.003261056,01/05/2014 14:50:00
0.003306154,01/05/2014 15:00:00
0.003497922,01/05/2014 15:10:00
0.003413776,01/05/2014 15:20:00
0.003402129,01/05/2014 15:30:00
0.003353325,01/05/2014 15:40:00
0.003449699,01/05/2014 15:50:00
0.003457838,01/05/2014 16:00:00
0.003628576,01/05/2014 16:10:00
0.003794734,01/05/2014 16:20:00
0.00365798,01/05/2014 16:30:00
0.003721629,01/05/2014 16:40:00
0.003672793,01/05/2014 16:50:00
0.00360232,01/05/2014 17:00:00
0.003651417,01/05/2014 17:10:00
0.003895985,01/05/2014 17:20:00
0.003774928,01/05/2014 17:30:00
0.00383875,01/05/2014 17:40:00
0.00377776,01/05/2014 17:50:00
0.003601662,01/05/2014 18:00:00
0.003640999,01/05/2014 18:10:00
0.003704721,01/05/2014 18:20:00
0.003972513,01/05/2014 18:30:00
0.004143065,01/05/2014 18:40:00
0.004103659,01/05/2014 18:50:00
0.004130809,01/05/2014 19:00:00
0.004134216,01/05/2014 19:10:00
0.004087929,01/05/2014 19:20:00
0.004103573,01/05/2014 19:30:00
0.004116989,01/05/2014 19:40:00
0.004356775,01/05/2014 19:50:00
0.004427817,01/05/2014 20:00:00
0.004712082,01/05/2014 20:10:00
0.004787747,01/05/2014 20:20:00
0.004673417,01/05/2014 20:30:00
0.004786702,01/05/2014 20:40:00
0.004661622,01/05/2014 20:50:00
0.004765414,01/05/2014 21:00:00
0.00483133,01/05/2014 21:10:00
0.00481711,01/05/2014 21:20:00
0.004649094,01/05/2014 21:30:00
0.004564849,01/05/2014 21:40:00
0.004679402,01/05/2014 21:50:00
0.004766556,01/05/2014 22:00:00
0.004708392,01/05/2014 22:10:00
0.004717388,01/05/2014 22:20:00
0.004905857,01/05/2014 22:30:00
0.004954556,01/05/2014 22:40:00
0.004778541,01/05/2014 22:50:00
0.004632516,01/05/2014 23:00:00
0.004797114,01/05/2014 23:10:00
0.004724609,01/05/2014 23:20:00
0.004588401,01/05/2014 23:30:00
0.004489318,01/05/2014 23:40:00
0.004521327,01/05/2014 23:50:00
0.004396685,02/05/2014 00:00:00
0.004434461,02/05/2014 00:10:00
0.004444772,02/05/2014 00:20:00
0.004547436,02/05/2014 00:30:00
0.004858564,02/05/2014 00:40:00
0.004820158,02/05/2014 00:50:00
0.00478191,02/05/2014 01:00:00
0.00482928,02/05/2014 01:10:00
0.004933256,02/05/2014 01:20:00
0.00486018,02/05/2014 01:30:00
0.004523522,02/05/2014 01:40:00
0.004179662,02/05/2014 01:50:00
0.004067168,02/05/2014 02:00:00
0.003889692,02/05/2014 02:10:00
0.003786033,02/05/2014 02:20:00
0.003508482,02/05/2014 02:30:00
0.00336327,02/05/2014 02:40:00
0.003281274,02/05/2014 02:50:00
0.003238459,02/05/2014 03:00:00
0.003245966,02/05/2014 03:10:00
0.003183208,02/05/2014 03:20:00
0.003210065,02/05/2014 03:30:00
0.003152288,02/05/2014 03:40:00
0.003115047,02/05/2014 03:50:00
0.003093945,02/05/2014 04:00:00
0.003010178,02/05/2014 04:10:00
0.002935277,02/05/2014 04:20:00
0.002908718,02/05/2014 04:30:00
0.002873111,02/05/2014 04:40:00
0.002852565,02/05/2014 04:50:00
0.002830963,02/05/2014 05:00:00
0.002875592,02/05/2014 05:10:00
0.002975574,02/05/2014 05:20:00
0.002998063,02/05/2014 05:30:00
0.002949337,02/05/2014 05:40:00
0.002951034,02/05/2014 05:50:00
0.002934377,02/05/2014 06:00:00
0.002977057,02/05/2014 06:10:00
0.002954886,02/05/2014 06:20:00
0.002858611,02/05/2014 06:30:00
0.002852056,02/05/2014 06:40:00
0.002779328,02/05/2014 06:50:00
0.002809453,02/05/2014 07:00:00
0.002907094,02/05/2014 07:10:00
0.003100845,02/05/2014 07:20:00
0.003136471,02/05/2014 07:30:00
0.00323322,02/05/2014 07:40:00
0.003185647,02/05/2014 07:50:00
0.003253155,02/05/2014 08:00:00
0.00334721,02/05/2014 08:10:00
0.003336753,02/05/2014 08:20:00
0.003272266,02/05/2014 08:30:00
0.003446042,02/05/2014 08:40:00
0.003406721,02/05/2014 08:50:00
0.003399936,02/05/2014 09:00:00
0.003387443,02/05/2014 09:10:00
0.003390551,02/05/2014 09:20:00
0.003357249,02/05/2014 09:30:00
0.003233484,02/05/2014 09:40:00
0.003173119,02/05/2014 09:50:00
0.003143122,02/05/2014 10:00:00
0.003138932,02/05/2014 10:10:00
0.003174101,02/05/2014 10:20:00
0.003251168,02/05/2014 10:30:00
0.003394272,02/05/2014 10:40:00
0.003469662,02/05/2014 10:50:00
0.003484467,02/05/2014 11:00:00
0.003381855,02/05/2014 11:10:00
0.003336413,02/05/2014 11:20:00
0.003281272,02/05/2014 11:30:00
0.003239081,02/05/2014 11:40:00
0.003243537,02/05/2014 11:50:00
0.003242245,02/05/2014 12:00:00
0.003252948,02/05/2014 12:10:00
0.003222096,02/05/2014 12:20:00
0.003229075,02/05/2014 12:30:00
0.003209313,02/05/2014 12:40:00
0.003212024,02/05/2014 12:50:00
0.003226471,02/05/2014 13:00:00
0.003202278,02/05/2014 13:10:00
0.003125884,02/05/2014 13:20:00
