REs,Time
0.00553615,01/05/2014 00:10:00
0.005247499,01/05/2014 00:20:00
0.004382913,01/05/2014 00:30:00
0.004979108,01/05/2014 00:40:00
0.0059767,01/05/2014 00:50:00
0.005283916,01/05/2014 01:00:00
0.004276443,01/05/2014 01:10:00
0.004493024,01/05/2014 01:20:00
0.004747234,01/05/2014 01:30:00
0.006299841,01/05/2014 01:40:00
0.006641201,01/05/2014 01:50:00
0.005464542,01/05/2014 02:00:00
0.006046128,01/05/2014 02:10:00
0.005346504,01/05/2014 02:20:00
0.005197376,01/05/2014 02:30:00
0.005113187,01/05/2014 02:40:00
0.004020641,01/05/2014 02:50:00
0.0040621,01/05/2014 03:00:00
0.004402537,01/05/2014 03:10:00
0.005341144,01/05/2014 03:20:00
0.005368984,01/05/2014 03:30:00
0.00611223,01/05/2014 03:40:00
0.005532537,01/05/2014 03:50:00
0.005629672,01/05/2014 04:00:00
0.005655329,01/05/2014 04:10:00
0.006960202,01/05/2014 04:20:00
0.006129055,01/05/2014 04:30:00
0.005838216,01/05/2014 04:40:00
0.006465951,01/05/2014 04:50:00
0.006509184,01/05/2014 05:00:00
0.006849054,01/05/2014 05:10:00
0.007108136,01/05/2014 05:20:00
0.004980349,01/05/2014 05:30:00
0.005257424,01/05/2014 05:40:00
0.005956442,01/05/2014 05:50:00
0.00490055,01/05/2014 06:00:00
0.00546675,01/05/2014 06:10:00
0.005185199,01/05/2014 06:20:00
0.00526641,01/05/2014 06:30:00
0.005034864,01/05/2014 06:40:00
0.004772455,01/05/2014 06:50:00
0.00434128,01/05/2014 07:00:00
0.005043702,01/05/2014 07:10:00
0.004371669,01/05/2014 07:20:00
0.005348806,01/05/2014 07:30:00
0.005334876,01/05/2014 07:40:00
0.004328192,01/05/2014 07:50:00
0.00504869,01/05/2014 08:00:00
0.004868823,01/05/2014 08:10:00
0.004196405,01/05/2014 08:20:00
0.004075946,01/05/2014 08:30:00
0.004273995,01/05/2014 08:40:00
0.003347257,01/05/2014 08:50:00
0.006083681,01/05/2014 11:30:00
0.003164076,01/05/2014 11:40:00
0.003152381,01/05/2014 11:50:00
0.002005793,01/05/2014 12:00:00
